

O(n)	dRLE	dopenCV	dEhren	dEhrencut
3	33842	38139	41767	38553
13	157471	614553	50529	36243
23	294207	1905568	69435	43817
33	443401	3911986	73298	34557
43	581515	6646539	80144	37368
53	737037	10140256	86187	39985
63	873306	14251152	93399	42092
73	1001024	19164920	99744	44773
83	1191469	24909498	109856	47069
93	1311996	31344370	117223	50312
103	1477927	38480271	126008	51920
113	1623710	46292108	139119	55794
123	1759925	54812766	149532	57625
133	1888718	64095395	158714	60722
143	2044190	74028176	176255	63146
153	2281622	84706239	182982	66498
163	2445878	96129679	198509	67576
173	2547229	108257731	209028	72431
183	2737945	121090612	221856	72312
193	2842396	134675573	245275	79523
203	3012621	148988038	249434	76160
213	3171252	164037811	264623	80220
223	3272535	180523539	278621	80012
233	3394686	197001000	291721	82837
243	3554229	213506417	305708	83535
253	3714002	231817157	328265	87458
263	4008573	250730728	338930	88216
273	4055584	270217990	356150	91320
283	4194145	290452604	377084	92672
293	4382553	311458352	390352	95856
303	4415516	333203814	410425	96666
