

O(n)	dRLE	dopenCV	dEhren	dEhrencut
3	1178	10402	4341	4042
13	4883	165043	5586	5119
23	8444	510719	7252	5656
33	11903	1050515	9559	6559
43	15227	1778244	12197	7257
53	18634	2705479	14532	8220
63	21868	3820189	18060	9977
73	25206	5132278	21515	11085
83	28590	6671948	24197	11571
93	32180	8397434	28266	13027
103	35211	10293260	32920	13759
113	38368	12387399	38014	15515
123	41809	14672078	43592	16296
133	44888	17147460	50282	19414
143	48307	19811662	54543	20311
153	51519	22673616	60652	21703
163	54807	25731574	72787	28696
173	58039	28981485	82254	31232
183	61262	32421586	86981	32778
193	64671	36050072	94533	35258
203	67987	39881513	100858	36580
213	71052	43907836	108203	37900
223	74465	48135585	116510	39318
233	77486	52637881	123217	40171
243	80772	57315944	132013	41095
253	83964	62094468	140541	42671
263	87008	67187069	148357	43852
273	90118	72436851	155010	44392
283	93343	77841472	165161	46476
293	96375	83423961	174544	48586
303	99692	89247757	188625	54804
