

O(n)	dRLE	dopenCV	dEhren	dEhrencut
3	34390	29855	40594	38689
13	137311	108435	50607	49111
23	232282	196675	40127	39245
33	333939	288760	31944	30548
43	419356	400676	35027	34492
53	524371	501267	38844	38375
63	603593	602794	42238	41098
73	708336	703504	46123	45369
83	814196	810043	50039	49605
93	908786	912729	54916	54129
103	992200	1020992	59459	58957
113	1104167	1131890	63077	62572
123	1206545	1240196	67707	67144
133	1300417	1349286	73081	72403
143	1395109	1457845	78084	78113
153	1508190	1564990	80499	79783
163	1584193	1673746	84873	83954
173	1662634	1780426	89018	88195
183	1742937	1887889	91038	90531
193	1862088	1994365	97713	97354
203	1951075	2100385	97436	96830
213	2023037	2210779	101265	100477
223	2146885	2314503	105253	104725
233	2242397	2423707	108480	107873
243	2338338	2529257	111805	111808
253	2429044	2632066	116319	116279
263	2568016	2745057	122018	122007
273	2619719	2847346	124199	123746
283	2713060	2957436	129936	129580
293	2765064	3068174	129836	129488
303	2907762	3179427	132303	132290
