

O(n)	dRLE	dopenCV	dEhren	dEhrencut
3	1198	8378	4201	4114
13	5221	29678	5168	5093
23	8299	55810	6483	6386
33	11516	77429	8079	8013
43	14754	107617	9634	9477
53	17995	134148	11531	11148
63	21108	160553	13135	13144
73	24335	188142	15074	15473
83	27439	215096	17363	17479
93	30482	243057	19936	19839
103	33565	269053	22298	22364
113	36743	297048	25239	24627
123	39777	323992	27778	27331
133	43018	351559	31056	30615
143	46118	378152	33603	32892
153	49069	407786	35537	35599
163	52446	434247	42626	41937
173	55222	460778	44852	44108
183	58448	489254	45291	44962
193	61462	516070	46667	46314
203	64573	546360	48478	48112
213	67633	575799	50531	50567
223	70633	603992	53317	52807
233	74070	633315	55943	55489
243	76611	662046	58655	58299
253	79750	688661	61883	61729
263	82117	717288	63805	63669
273	84864	748367	66130	66410
283	88225	779269	67783	67260
293	91451	809020	69780	69533
303	93974	839865	79385	78456
