
O(n)	RLE	JmDv	JmDvM1	JmDM2	JmDvM2	openCV	Ehren2cut	Ehren2	Ehren3
3	38196	297399	283348	280852	281853	36041	21593	24718	26740
13	70961	306432	293647	303025	303371	610258	16064	26988	28584
23	83118	312650	323932	331298	332375	1891689	16187	28233	29918
33	91628	316326	345627	354814	355178	3890259	16302	29720	30768
43	99600	321250	360641	370904	370351	6596081	16655	31364	31998
53	107459	325024	366523	377928	377975	10077015	17135	32850	32955
63	114598	329192	369924	382408	382215	14155008	18124	34366	34275
73	121145	333087	369823	381779	381838	19035922	18394	36128	35790
83	128038	337603	369686	381438	381170	24749473	18678	37451	36783
93	133182	341748	367765	379632	379474	31166371	18446	39098	37998
103	139875	344558	365637	377523	377018	38227701	19033	40308	39064
113	145442	348058	360031	371811	371861	45984870	18747	42243	40957
123	151742	352634	356866	368819	368193	54447490	19299	43052	41887
133	156177	356256	351787	363959	363850	63666622	19304	44503	42751
143	161471	360013	346380	359358	359644	73554503	19206	45916	43811
153	167065	363712	342012	353603	353173	84135377	19133	46688	44582
163	172413	365895	335174	347105	346927	95460760	19195	47905	45635
173	174624	371216	331243	343764	343532	107523790	19243	49049	46940
183	180275	373227	323403	335829	336775	120296881	19546	50041	47411
193	182720	374799	315723	328356	328587	133732347	19199	51225	48401
203	187752	376661	309441	321651	321958	147960478	19384	52145	48829
213	191073	379022	302391	315546	314691	162833848	18853	52401	49371
223	196210	382603	297072	309397	309133	178486752	19121	53351	50128
233	198461	383429	290476	304039	303360	194882694	18766	54119	50499
243	203575	384644	285680	298190	297713	211958771	18394	54245	50570
253	206859	386201	278789	291476	291527	230054199	18358	54863	51017
263	211869	386915	274657	287979	287870	248973269	18563	55409	51552
273	214441	390049	273513	287010	286758	268465140	19859	57562	53871
283	220275	391016	270226	285028	284396	288707653	18212	56797	53300
293	223231	392452	265160	279557	278962	309445472	17991	57338	53490
303	228157	393701	260679	273709	273533	330839243	17942	57413	53302
