
O(n)	RLE	JmDv	JmDvM1	JmDM2	JmDvM2	openCV	Ehren2cut	Ehren2	Ehren3
3	1653	76603	75853	75918	75891	10353	3139	3167	3757
13	6705	80320	85461	85903	85797	163783	3769	4353	4549
23	10622	82919	96518	96138	96098	508972	4212	5402	5280
33	13529	85674	102013	101697	101861	1042778	4512	6338	6107
43	15887	88354	104322	104729	104678	1766680	4727	6730	6526
53	17838	88414	102768	103856	104501	2685854	4815	7363	7053
63	19603	89999	99646	101321	100998	3792006	4954	8027	7598
73	21031	91028	95823	97581	98559	5094992	4965	8889	8422
83	22147	93622	92266	94258	94487	6629665	4940	9052	8489
93	23041	94919	88554	90792	90823	8342550	4907	9550	8872
103	23788	94954	85823	87966	87971	10224156	4938	10367	9274
113	24505	96310	82823	84836	85067	12303849	4872	10893	10405
123	25229	97242	79459	82228	82201	14567264	4840	11197	10443
133	25872	98455	77610	80378	80362	17024005	4817	11722	10938
143	26538	98662	74749	78136	77511	19675444	4811	12115	11301
153	26931	100717	73529	76268	75732	22513776	4613	11880	11227
163	27323	100372	71011	73816	73753	25550702	4434	12024	11361
173	27687	100776	69694	72825	72329	28779000	4424	12878	11978
183	27929	100548	68124	71426	71369	32199225	4385	12550	11834
193	27890	101120	66381	69647	69493	35808880	4264	12656	11968
203	27896	100814	66787	69804	69741	39604079	4201	13058	12321
213	28113	100900	66925	70063	69951	43604081	4191	12955	12180
223	28263	101895	66707	69944	69950	47794222	4214	12641	11608
233	28491	100404	66465	69359	69457	52282171	4247	12967	12573
243	28706	101335	66597	69197	69870	56933353	4223	12898	12714
253	28895	101589	66968	69822	69788	61680544	4299	12820	11775
263	29114	100536	66068	69405	69161	66726171	4282	13258	12642
273	29293	101653	66346	69732	69524	71957946	4301	13381	12502
283	29570	101070	66673	69903	69825	77332187	4246	13112	12775
293	29638	101482	66146	69179	69829	82874479	9375	18108	17013
303	29830	102512	66926	69887	69719	88615302	4438	13530	13150
