
O(n)	RLE	JmDv	JmDvM1	JmDM2	JmDvM2	openCV	Ehren2cut	Ehren2	Ehren3
3	31591	289484	279822	280367	280485	34001	20789	20669	22233
13	21718	281502	291200	299422	299338	113392	11774	12081	14425
23	22812	282719	313438	322833	322356	206061	11608	11587	13792
33	28806	285463	328843	338556	343529	306739	12262	12198	14380
43	36882	288001	337873	348568	347490	421995	12893	12734	14815
53	40987	288284	338294	349139	349448	523831	13013	12984	14878
63	46400	289839	334269	346224	346216	629689	13723	13654	15349
73	51693	290600	330989	342104	342252	732430	14280	14177	15936
83	55612	291880	326485	338395	338216	838268	14664	14687	16075
93	60040	292664	323516	335627	335912	942402	15390	15174	16378
103	64104	293226	317804	329653	328720	1050059	15630	15503	16814
113	68996	293748	311781	324528	324566	1162666	16190	15787	16819
123	72307	294454	305035	317878	319728	1277027	16625	16970	17362
133	76208	296613	298106	310841	311238	1387584	16963	16795	17384
143	79916	297598	292637	304769	304821	1498069	17253	17256	17756
153	83899	296420	285392	298555	297818	1608026	16546	16671	17245
163	84546	294128	278852	291337	291242	1716307	16540	16130	17069
173	87960	292945	274851	287610	287425	1830272	15850	15832	16344
183	88968	293031	271028	283834	284202	1939979	15404	15383	16030
193	91855	290236	266324	279005	279638	2047362	15008	15162	15451
203	93192	290343	262784	274049	274965	2151768	15332	15437	15398
213	95870	288234	257307	270316	270368	2264288	14504	14266	14659
223	97573	288273	254645	267858	268165	2369399	14471	14451	14738
233	100453	287178	252099	264812	265025	2480630	14233	14053	14189
243	103112	285697	250734	263680	264466	2584702	13754	13574	13799
253	105874	282668	248698	262090	262261	2700086	13124	13178	13535
263	108584	280399	247595	261039	261134	2808302	12412	12473	12810
273	113979	278627	246594	260277	260366	2916395	11794	11665	12361
283	114340	277078	245294	259355	259118	3026449	11441	11418	12093
293	118102	275993	244615	259267	258697	3152209	10886	10870	11665
303	119137	274680	245346	258454	258974	3262881	10854	10696	11641
