
O(n)	RLE	JmDv	JmDvM1	JmDM2	JmDvM2	openCV	Ehren2cut	Ehren2	Ehren3
3	1654	75877	76298	75915	75815	8678	3352	3206	3867
13	5916	78334	82976	83618	83941	30610	4170	3774	4300
23	8003	79486	89744	89757	90530	55593	4317	4354	4447
33	9409	80301	93128	93541	93909	82560	4598	4635	4623
43	10366	81035	92984	94395	93638	112231	4735	4776	4747
53	11152	81682	89826	91473	91491	140228	4886	5267	5036
63	11714	81917	86550	87905	87654	167460	4980	5003	4916
73	11665	81202	81926	84467	84612	195079	4937	5005	4898
83	11301	81042	79479	81818	82254	222419	4883	4920	4835
93	11189	81031	78173	80701	80692	250060	4715	4734	4706
103	10953	80478	76345	78550	78605	277421	4544	4567	4602
113	10830	79807	75405	77990	78050	305085	4396	4707	4476
123	10695	79287	73863	77287	76649	332437	4356	4889	4493
133	10656	79002	72418	75324	75305	360482	4302	4622	4395
143	10567	78802	71241	74705	73986	387712	4291	4865	4360
153	10405	78113	69692	72578	72545	415235	4047	4330	4211
163	9845	77237	68513	71348	71298	442975	3762	3993	4065
173	8761	75816	67588	70596	70622	471134	3578	3722	3735
183	8022	76231	67943	71043	70593	498392	3246	3330	3503
193	7083	75582	67596	70742	70732	527121	3043	3057	3248
203	6448	75204	67589	70674	70664	558782	2956	2984	3152
213	6020	75122	67629	70784	70707	587459	2959	2952	3122
223	5636	75086	67463	70691	70653	616388	2931	2952	3070
233	5460	74720	67477	70732	70339	646587	2955	2995	3073
243	5269	74135	67287	70780	70446	674280	3004	3032	3105
253	5046	74540	67729	70748	70471	703677	3046	3056	3153
263	5003	74205	67863	70630	70831	732258	3060	3082	3126
273	5056	74080	67739	70824	70818	763312	3102	3109	3200
283	5289	74284	67109	70339	70213	793922	3129	3213	3199
293	5007	74383	67746	71002	70959	825473	8030	7993	8216
303	4906	74390	67491	70329	70412	857267	3284	3284	3364
